"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Texas,Robertson,Republican,16622,19.4,2569
Virginia,Bedford,Republican,68676,91.2,15128
Georgia,DeKalb,Republican,691893,2585.7,43512
North Carolina,Hertford,Republican,24669,69.9,703
Ohio,Harrison,Republican,15864,39.4,2697
Mississippi,Stone,Republican,17786,39.9,3109
Missouri,Sullivan,Republican,6714,10.4,967
Virginia,Prince Edward,Republican,23368,66.8,2038
Illinois,Bond,Democrat,17768,46.7,1576
Ohio,Montgomery,Democrat,535153,1159.5,55890
Illinois,Macoupin,Republican,47765,55.4,7168
Pennsylvania,Sullivan,Republican,6428,14.3,1266
Wyoming,Big Horn,Democrat,11668,3.7,4
South Carolina,Chester,Democrat,33140,57.1,2454
Texas,Franklin,Democrat,10605,37.3,236
Florida,Alachua,Democrat,247336,282.7,35323
Tennessee,Cheatham,Democrat,39105,129.3,1866
Kentucky,Bracken,Democrat,8488,41.3,675
Kentucky,Lincoln,Democrat,24742,74.1,1521
Hawaii,Kauai,Democrat,67091,108.2,2656
Mississippi,Calhoun,Republican,14962,25.5,2337
Arkansas,Carroll,Republican,27446,43.6,0
Michigan,Chippewa,Republican,38520,24.7,4610
Missouri,Wayne,Democrat,13521,17.8,657
Georgia,Echols,Republican,4034,9.7,451
Nebraska,Nemaha,Republican,7248,17.8,726
Iowa,Warren,Republican,46225,81.1,3807
Virginia,Martinsville,Republican,13821,1261.5,997
Alabama,Macon,Republican,21452,35.2,728
Missouri,Marion,Republican,28781,65.9,4939
Florida,Baker,Democrat,27115,46.3,1459
Nebraska,Clay,Republican,6542,11.4,952
Mississippi,Lamar,Republican,55658,112.0,11125
South Dakota,Marshall,Republican,4656,5.6,265
Nebraska,Brown,Democrat,3145,2.6,13
Alabama,Cleburne,Republican,14972,26.7,4189
Alabama,Cullman,Republican,80406,109.4,20557
Georgia,Wilkes,Democrat,10593,22.6,843
South Carolina,Spartanburg,Republican,284307,351.9,46655
Idaho,Oneida,Democrat,4286,3.6,11
Colorado,Lake,Democrat,7310,19.4,218
Florida,Sarasota,Republican,379448,682.6,70660
Tennessee,Roane,Democrat,54181,150.2,2370
Illinois,Adams,Republican,67103,78.5,12498
Oklahoma,Okfuskee,Republican,12191,19.7,776
Georgia,Emanuel,Republican,22598,33.2,2928
Michigan,Iosco,Republican,25887,47.1,3583
Idaho,Idaho County,Republican,16267,1.9,3800
Florida,Clay,Democrat,190865,315.8,9043
Utah,Summit,Democrat,36324,19.4,2396
Texas,Falls,Republican,17866,23.3,2389
Montana,Sanders,Republican,11413,4.1,2343
Oregon,Deschutes,Democrat,157733,52.3,23137
Texas,Hamilton,Democrat,8517,10.2,202
Arkansas,Nevada,Republican,8997,14.6,662
Iowa,Adams,Democrat,4029,9.5,199
Kentucky,Livingston,Republican,9519,30.4,310
Nevada,Douglas,Democrat,46997,66.2,157
Utah,Wasatch,Republican,23530,20.0,2376
Maryland,Queen Anne's,Republican,47798,128.5,7853
Oklahoma,Dewey,Republican,4810,4.8,841
Louisiana,St. Mary,Democrat,54650,98.4,2530
Nevada,White Pine,Republican,10030,1.1,430
Mississippi,Tallahatchie,Republican,15378,23.8,1187
Mississippi,Kemper,Democrat,10456,13.6,1114
Missouri,Nodaway,Republican,23370,26.6,3275
Florida,Monroe,Republican,73090,74.3,10802
Texas,Bee,Republican,31861,36.2,2879
Mississippi,Issaquena,Democrat,1406,3.4,195
South Carolina,Williamsburg,Democrat,34423,36.8,5166
Illinois,Whiteside,Democrat,58498,85.5,5997
Washington,Benton,Democrat,175177,103.0,492
Georgia,Crawford,Republican,12630,38.9,1773
Virginia,Roanoke City,Republican,97032,2279.8,7415
Texas,Hudspeth,Republican,3476,0.8,184
Florida,Citrus,Republican,141236,242.8,26794
South Dakota,Lincoln,Democrat,44828,77.7,2588
Maryland,Allegany,Republican,75087,177.0,9214
Oregon,Grant,Democrat,7445,1.6,594
Oklahoma,Major,Democrat,7527,7.9,355
