"county","state","party","liczba_weteranów","liczba_gł_republikanie","liczba_gł_demokraci"
Choctaw,Oklahoma,Democrat,"1 - 2 tyś",1470473,804302
Floyd,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Winston,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Adair,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Eastland,Texas,Republican,"1 - 2 tyś",1470473,804302
Simpson,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Brown,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Clay,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Hickory,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Newton,Texas,Republican,"1 - 2 tyś",1470473,804302
Chattooga,Georgia,Republican,"1 - 2 tyś",1470473,804302
Burleson,Texas,Republican,"1 - 2 tyś",1470473,804302
Franklin,Florida,Republican,"1 - 2 tyś",1470473,804302
Poweshiek,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Greene,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Jefferson,Montana,Democrat,"1 - 2 tyś",1470473,804302
Yancey,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Union,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Marion,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Lawrence,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Gage,Nebraska,Democrat,"1 - 2 tyś",1470473,804302
Massac,Illinois,Republican,"1 - 2 tyś",1470473,804302
Bell,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Rowan,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Missaukee,Michigan,Republican,"1 - 2 tyś",1470473,804302
Presque Isle,Michigan,Republican,"1 - 2 tyś",1470473,804302
Hampton,South Carolina,Republican,"1 - 2 tyś",1470473,804302
Upshur,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Lincoln,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Moffat,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Spencer,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Boone,West Virginia,Democrat,"1 - 2 tyś",1470473,804302
Trinity,California,Democrat,"1 - 2 tyś",1470473,804302
McIntosh,Georgia,Republican,"1 - 2 tyś",1470473,804302
Fayette,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Tipton,Indiana,Republican,"1 - 2 tyś",1470473,804302
Dade,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Bosque,Texas,Republican,"1 - 2 tyś",1470473,804302
Morgan,West Virginia,Democrat,"1 - 2 tyś",1470473,804302
Massac,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Wright,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Glades,Florida,Republican,"1 - 2 tyś",1470473,804302
Marion,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Saline,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Winneshiek,Iowa,Republican,"1 - 2 tyś",1470473,804302
Wyandot,Ohio,Republican,"1 - 2 tyś",1470473,804302
Montgomery,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Lafayette,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Chattooga,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Paulding,Ohio,Democrat,"1 - 2 tyś",1470473,804302
Freestone,Texas,Republican,"1 - 2 tyś",1470473,804302
Monroe,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Morris,Texas,Democrat,"1 - 2 tyś",1470473,804302
Nicholas,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Banks,Georgia,Republican,"1 - 2 tyś",1470473,804302
Swain,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Claiborne,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Clayton,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Benewah,Idaho,Republican,"1 - 2 tyś",1470473,804302
Montmorency,Michigan,Democrat,"1 - 2 tyś",1470473,804302
Bolivar,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Shelby,Texas,Democrat,"1 - 2 tyś",1470473,804302
Jones,Iowa,Republican,"1 - 2 tyś",1470473,804302
Taylor,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Iowa,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Comanche,Texas,Republican,"1 - 2 tyś",1470473,804302
Sanpete,Utah,Republican,"1 - 2 tyś",1470473,804302
Knox,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Clay,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Lee,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Custer,South Dakota,Democrat,"1 - 2 tyś",1470473,804302
Alger,Michigan,Democrat,"1 - 2 tyś",1470473,804302
Bledsoe,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Gunnison,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Leake,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Assumption,Louisiana,Republican,"1 - 2 tyś",1470473,804302
Limestone,Texas,Republican,"1 - 2 tyś",1470473,804302
Bollinger,Missouri,Republican,"1 - 2 tyś",1470473,804302
Allen,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Uintah,Utah,Republican,"1 - 2 tyś",1470473,804302
Gray,Texas,Democrat,"1 - 2 tyś",1470473,804302
Lee,Virginia,Republican,"1 - 2 tyś",1470473,804302
Clay,Iowa,Republican,"1 - 2 tyś",1470473,804302
Russell,Virginia,Republican,"1 - 2 tyś",1470473,804302
Madison,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Sussex,Virginia,Republican,"1 - 2 tyś",1470473,804302
Pawnee,Oklahoma,Democrat,"1 - 2 tyś",1470473,804302
Union,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Gasconade,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Northampton,Virginia,Republican,"1 - 2 tyś",1470473,804302
Franklin,Alabama,Republican,"1 - 2 tyś",1470473,804302
Clay,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Jones,Texas,Republican,"1 - 2 tyś",1470473,804302
Vermillion,Indiana,Republican,"1 - 2 tyś",1470473,804302
Bolivar,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Saline,Missouri,Republican,"1 - 2 tyś",1470473,804302
Pike,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Northampton,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Dawson,Georgia,Republican,"1 - 2 tyś",1470473,804302
Avery,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Toombs,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Fall River,South Dakota,Democrat,"1 - 2 tyś",1470473,804302
Clark,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Routt,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Jones,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Randolph,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Morgan,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Fall River,South Dakota,Republican,"1 - 2 tyś",1470473,804302
Falls,Texas,Republican,"1 - 2 tyś",1470473,804302
Harrison,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Hill,Montana,Republican,"1 - 2 tyś",1470473,804302
Karnes,Texas,Democrat,"1 - 2 tyś",1470473,804302
Little River,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Berrien,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Saunders,Nebraska,Republican,"1 - 2 tyś",1470473,804302
Summers,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Hardin,Iowa,Republican,"1 - 2 tyś",1470473,804302
Cross,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Anson,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Clarke,Virginia,Republican,"1 - 2 tyś",1470473,804302
Hamilton,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Barnwell,South Carolina,Republican,"1 - 2 tyś",1470473,804302
Valley,Idaho,Republican,"1 - 2 tyś",1470473,804302
Floyd,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Anderson,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Kent,Maryland,Republican,"1 - 2 tyś",1470473,804302
Polk,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Buena Vista,Iowa,Republican,"1 - 2 tyś",1470473,804302
Vernon,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Missaukee,Michigan,Democrat,"1 - 2 tyś",1470473,804302
Simpson,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Rowan,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Shoshone,Idaho,Republican,"1 - 2 tyś",1470473,804302
Randolph,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Maverick,Texas,Democrat,"1 - 2 tyś",1470473,804302
Kossuth,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Fredericksburg,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Northampton,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Pemiscot,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Dakota,Nebraska,Republican,"1 - 2 tyś",1470473,804302
Deer Lodge,Montana,Democrat,"1 - 2 tyś",1470473,804302
Conecuh,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Newton,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Hill,Montana,Democrat,"1 - 2 tyś",1470473,804302
Grant,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
McDuffie,Georgia,Republican,"1 - 2 tyś",1470473,804302
Perquimans,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Lawrence,Illinois,Republican,"1 - 2 tyś",1470473,804302
Uintah,Utah,Democrat,"1 - 2 tyś",1470473,804302
Clay,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Dickinson,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Concordia,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Pawnee,Oklahoma,Republican,"1 - 2 tyś",1470473,804302
Tippah,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Goshen,Wyoming,Democrat,"1 - 2 tyś",1470473,804302
Waynesboro,Virginia,Democrat,"1 - 2 tyś",1470473,804302
DeWitt,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Martin,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Langlade,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Colusa,California,Republican,"1 - 2 tyś",1470473,804302
Sumter,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Madison,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Sunflower,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Lauderdale,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Waynesboro,Virginia,Republican,"1 - 2 tyś",1470473,804302
Alcona,Michigan,Republican,"1 - 2 tyś",1470473,804302
Taylor,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Leflore,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Nolan,Texas,Republican,"1 - 2 tyś",1470473,804302
Montague,Texas,Republican,"1 - 2 tyś",1470473,804302
Perry,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Wetzel,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Crisp,Georgia,Republican,"1 - 2 tyś",1470473,804302
Union,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Washington,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Hancock,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Yell,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Socorro,New Mexico,Republican,"1 - 2 tyś",1470473,804302
Inyo,California,Democrat,"1 - 2 tyś",1470473,804302
Adair,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Buchanan,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Chester,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Wells,Indiana,Republican,"1 - 2 tyś",1470473,804302
Cherokee,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Parke,Indiana,Republican,"1 - 2 tyś",1470473,804302
Bates,Missouri,Republican,"1 - 2 tyś",1470473,804302
Winston,Alabama,Republican,"1 - 2 tyś",1470473,804302
Columbia,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Burnett,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Van Buren,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Colusa,California,Democrat,"1 - 2 tyś",1470473,804302
Iowa,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Lee,Texas,Democrat,"1 - 2 tyś",1470473,804302
Winston,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Montgomery,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Posey,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Evangeline,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Arenac,Michigan,Republican,"1 - 2 tyś",1470473,804302
Henry,Alabama,Republican,"1 - 2 tyś",1470473,804302
Clay,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Macon,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Jasper,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Johnson,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Mississippi,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Union,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Montour,Pennsylvania,Republican,"1 - 2 tyś",1470473,804302
Itawamba,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Trinity,Texas,Republican,"1 - 2 tyś",1470473,804302
Yankton,South Dakota,Republican,"1 - 2 tyś",1470473,804302
Cross,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Grenada,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Breckinridge,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Bamberg,South Carolina,Democrat,"1 - 2 tyś",1470473,804302
Rio Grande,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Decatur,Georgia,Republican,"1 - 2 tyś",1470473,804302
Macon,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Sevier,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Seminole,Oklahoma,Republican,"1 - 2 tyś",1470473,804302
Lawrence,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Richland,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Jay,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Madison,Florida,Republican,"1 - 2 tyś",1470473,804302
Poquoson,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Columbia,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Johnson,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Pontotoc,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Long,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Knox,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Freestone,Texas,Democrat,"1 - 2 tyś",1470473,804302
Ben Hill,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Cannon,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Spencer,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Socorro,New Mexico,Democrat,"1 - 2 tyś",1470473,804302
Butler,Alabama,Republican,"1 - 2 tyś",1470473,804302
Logan,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Pike,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Ripley,Missouri,Republican,"1 - 2 tyś",1470473,804302
Stone,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
McCreary,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Lincoln,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Cooper,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Clarke,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Fayette,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Montgomery,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Seward,Nebraska,Democrat,"1 - 2 tyś",1470473,804302
Pierce,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Sullivan,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Okfuskee,Oklahoma,Democrat,"1 - 2 tyś",1470473,804302
Grayson,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Washington,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Adams,Ohio,Democrat,"1 - 2 tyś",1470473,804302
Dade,Georgia,Republican,"1 - 2 tyś",1470473,804302
Izard,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Meigs,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Tishomingo,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Washington,Nebraska,Democrat,"1 - 2 tyś",1470473,804302
Starr,Texas,Democrat,"1 - 2 tyś",1470473,804302
Grenada,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Simpson,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Clayton,Iowa,Republican,"1 - 2 tyś",1470473,804302
Burleson,Texas,Democrat,"1 - 2 tyś",1470473,804302
Juniata,Pennsylvania,Democrat,"1 - 2 tyś",1470473,804302
Custer,Oklahoma,Republican,"1 - 2 tyś",1470473,804302
Hale,Texas,Republican,"1 - 2 tyś",1470473,804302
Butts,Georgia,Republican,"1 - 2 tyś",1470473,804302
Scott,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Carroll,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Forest,Pennsylvania,Republican,"1 - 2 tyś",1470473,804302
Fairfax City,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Lee,South Carolina,Republican,"1 - 2 tyś",1470473,804302
Union,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Price,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Warren,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Breckinridge,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Mercer,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Benton,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Morgan,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Ralls,Missouri,Republican,"1 - 2 tyś",1470473,804302
Pike,Missouri,Republican,"1 - 2 tyś",1470473,804302
Concordia,Louisiana,Republican,"1 - 2 tyś",1470473,804302
LaRue,Kentucky,Republican,"1 - 2 tyś",1470473,804302
St. Clair,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Lafayette,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Decatur,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Martinsville,Virginia,Republican,"1 - 2 tyś",1470473,804302
Toombs,Georgia,Republican,"1 - 2 tyś",1470473,804302
Benzie,Michigan,Democrat,"1 - 2 tyś",1470473,804302
Letcher,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Sevier,Utah,Republican,"1 - 2 tyś",1470473,804302
Burke,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Lawrence,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Sierra,New Mexico,Democrat,"1 - 2 tyś",1470473,804302
Gates,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Washington,Nebraska,Republican,"1 - 2 tyś",1470473,804302
Hopewell,Virginia,Republican,"1 - 2 tyś",1470473,804302
Clay,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Scurry,Texas,Republican,"1 - 2 tyś",1470473,804302
Decatur,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Henry,Iowa,Republican,"1 - 2 tyś",1470473,804302
Floyd,Iowa,Republican,"1 - 2 tyś",1470473,804302
Bledsoe,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Clarke,Alabama,Republican,"1 - 2 tyś",1470473,804302
Gem,Idaho,Republican,"1 - 2 tyś",1470473,804302
Simpson,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Fountain,Indiana,Republican,"1 - 2 tyś",1470473,804302
Clearwater,Idaho,Democrat,"1 - 2 tyś",1470473,804302
Sanders,Montana,Republican,"1 - 2 tyś",1470473,804302
Lamar,Georgia,Republican,"1 - 2 tyś",1470473,804302
Moultrie,Illinois,Republican,"1 - 2 tyś",1470473,804302
Carroll,Indiana,Republican,"1 - 2 tyś",1470473,804302
O'Brien,Iowa,Republican,"1 - 2 tyś",1470473,804302
Gage,Nebraska,Republican,"1 - 2 tyś",1470473,804302
Greene,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Iberville,Louisiana,Republican,"1 - 2 tyś",1470473,804302
Delaware,Iowa,Republican,"1 - 2 tyś",1470473,804302
Richland,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Otoe,Nebraska,Democrat,"1 - 2 tyś",1470473,804302
Crawford,Illinois,Republican,"1 - 2 tyś",1470473,804302
Jackson,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Saint Francis,Arkansas,Republican,"1 - 2 tyś",1470473,804302
Westmoreland,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Sierra,New Mexico,Republican,"1 - 2 tyś",1470473,804302
Butts,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Lunenburg,Virginia,Republican,"1 - 2 tyś",1470473,804302
Limestone,Texas,Democrat,"1 - 2 tyś",1470473,804302
Smith,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Potter,Pennsylvania,Democrat,"1 - 2 tyś",1470473,804302
Pointe Coupee,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Wright,Missouri,Republican,"1 - 2 tyś",1470473,804302
New Kent,Virginia,Republican,"1 - 2 tyś",1470473,804302
Park,Montana,Republican,"1 - 2 tyś",1470473,804302
Park,Colorado,Democrat,"1 - 2 tyś",1470473,804302
Sawyer,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Brooks,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Giles,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Milam,Texas,Democrat,"1 - 2 tyś",1470473,804302
Towns,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Warren,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Montour,Pennsylvania,Democrat,"1 - 2 tyś",1470473,804302
Gilchrist,Florida,Democrat,"1 - 2 tyś",1470473,804302
Appanoose,Iowa,Republican,"1 - 2 tyś",1470473,804302
Humphreys,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Uvalde,Texas,Republican,"1 - 2 tyś",1470473,804302
Monroe,West Virginia,Democrat,"1 - 2 tyś",1470473,804302
Franklin,Alabama,Democrat,"1 - 2 tyś",1470473,804302
Leflore,Mississippi,Republican,"1 - 2 tyś",1470473,804302
Johnson,Illinois,Republican,"1 - 2 tyś",1470473,804302
York,Nebraska,Republican,"1 - 2 tyś",1470473,804302
Iowa,Iowa,Republican,"1 - 2 tyś",1470473,804302
Greene,Illinois,Republican,"1 - 2 tyś",1470473,804302
Allen,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Perry,Indiana,Republican,"1 - 2 tyś",1470473,804302
Idaho County,Idaho,Democrat,"1 - 2 tyś",1470473,804302
White,Illinois,Republican,"1 - 2 tyś",1470473,804302
Rains,Texas,Democrat,"1 - 2 tyś",1470473,804302
Charlotte,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Madison,Florida,Democrat,"1 - 2 tyś",1470473,804302
Clay,Illinois,Republican,"1 - 2 tyś",1470473,804302
Pike,Illinois,Republican,"1 - 2 tyś",1470473,804302
Wayne,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Smith,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Comanche,Texas,Democrat,"1 - 2 tyś",1470473,804302
Carbon,Utah,Democrat,"1 - 2 tyś",1470473,804302
De Witt,Texas,Democrat,"1 - 2 tyś",1470473,804302
Davison,South Dakota,Democrat,"1 - 2 tyś",1470473,804302
Hardy,West Virginia,Democrat,"1 - 2 tyś",1470473,804302
Bamberg,South Carolina,Republican,"1 - 2 tyś",1470473,804302
Torrance,New Mexico,Democrat,"1 - 2 tyś",1470473,804302
Northampton,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Buffalo,Wisconsin,Democrat,"1 - 2 tyś",1470473,804302
Neshoba,Mississippi,Democrat,"1 - 2 tyś",1470473,804302
Mahaska,Iowa,Republican,"1 - 2 tyś",1470473,804302
Carbon,Utah,Republican,"1 - 2 tyś",1470473,804302
Tift,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Chickasaw,Iowa,Republican,"1 - 2 tyś",1470473,804302
Osage,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Butte,South Dakota,Democrat,"1 - 2 tyś",1470473,804302
Parke,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Haralson,Georgia,Democrat,"1 - 2 tyś",1470473,804302
Hughes,South Dakota,Republican,"1 - 2 tyś",1470473,804302
Red River,Texas,Republican,"1 - 2 tyś",1470473,804302
Madison,Missouri,Republican,"1 - 2 tyś",1470473,804302
Gates,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Hopewell,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Charlottesville,Virginia,Republican,"1 - 2 tyś",1470473,804302
Panola,Texas,Democrat,"1 - 2 tyś",1470473,804302
Monroe,West Virginia,Republican,"1 - 2 tyś",1470473,804302
Decatur,Tennessee,Democrat,"1 - 2 tyś",1470473,804302
Sawyer,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Iberville,Louisiana,Democrat,"1 - 2 tyś",1470473,804302
Menard,Illinois,Democrat,"1 - 2 tyś",1470473,804302
Carroll,Iowa,Democrat,"1 - 2 tyś",1470473,804302
Audrain,Missouri,Republican,"1 - 2 tyś",1470473,804302
Bertie,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Martin,North Carolina,Republican,"1 - 2 tyś",1470473,804302
Wayne,Tennessee,Republican,"1 - 2 tyś",1470473,804302
Shelby,Iowa,Republican,"1 - 2 tyś",1470473,804302
Perry,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Schuyler,New York,Republican,"1 - 2 tyś",1470473,804302
Moniteau,Missouri,Democrat,"1 - 2 tyś",1470473,804302
Madison,Iowa,Republican,"1 - 2 tyś",1470473,804302
Boundary,Idaho,Democrat,"1 - 2 tyś",1470473,804302
Carroll,Iowa,Republican,"1 - 2 tyś",1470473,804302
Gilchrist,Florida,Republican,"1 - 2 tyś",1470473,804302
Willacy,Texas,Democrat,"1 - 2 tyś",1470473,804302
Plaquemines,Louisiana,Republican,"1 - 2 tyś",1470473,804302
Cassia,Idaho,Republican,"1 - 2 tyś",1470473,804302
Richland,Wisconsin,Republican,"1 - 2 tyś",1470473,804302
Jackson,Iowa,Republican,"1 - 2 tyś",1470473,804302
Randolph,Arkansas,Democrat,"1 - 2 tyś",1470473,804302
Towns,Georgia,Republican,"1 - 2 tyś",1470473,804302
Decatur,Indiana,Republican,"1 - 2 tyś",1470473,804302
Wayne,Kentucky,Democrat,"1 - 2 tyś",1470473,804302
Carroll,Indiana,Democrat,"1 - 2 tyś",1470473,804302
Adair,Missouri,Republican,"1 - 2 tyś",1470473,804302
Blaine,Idaho,Democrat,"1 - 2 tyś",1470473,804302
Scott,Virginia,Democrat,"1 - 2 tyś",1470473,804302
Caldwell,Kentucky,Republican,"1 - 2 tyś",1470473,804302
Lancaster,Virginia,Republican,"1 - 2 tyś",1470473,804302
Douglas,Missouri,Republican,"1 - 2 tyś",1470473,804302
Ben Hill,Georgia,Republican,"1 - 2 tyś",1470473,804302
Chowan,North Carolina,Democrat,"1 - 2 tyś",1470473,804302
Pend Oreille,Washington,Republican,"1 - 2 tyś",1470473,804302
DeKalb,Missouri,Republican,"1 - 2 tyś",1470473,804302
Elbert,Georgia,Democrat,"1 - 2 tyś",1470473,804302
