"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Oklahoma,Ottawa,Democrat,31848,67.6,2210
Arkansas,Lonoke,Democrat,68356,88.7,2481
Georgia,Bleckley,Democrat,13063,60.5,468
Michigan,Montmorency,Democrat,9765,17.9,775
California,Del Norte,Democrat,28610,28.4,2338
Georgia,Decatur,Democrat,27842,46.6,1649
Texas,Coke,Democrat,3320,3.6,50
Virginia,Orange,Democrat,33481,98.2,2192
Mississippi,Oktibbeha,Democrat,47671,104.0,3128
Kentucky,Jessamine,Democrat,48586,282.3,3988
Indiana,Clinton,Democrat,33224,82.0,1770
Tennessee,Crockett,Democrat,14586,54.9,527
Georgia,Emanuel,Democrat,22598,33.2,899
Texas,Garza,Democrat,6461,7.2,57
Michigan,Sanilac,Democrat,43114,44.8,2645
North Carolina,Richmond,Democrat,46639,98.4,4536
Wisconsin,Florence,Democrat,4423,9.1,468
New York,Wayne,Democrat,93772,155.3,4178
Illinois,Madison,Democrat,269282,376.3,34055
Iowa,Hamilton,Democrat,15673,27.2,599
Iowa,Allamakee,Democrat,14330,22.4,600
New Mexico,Guadalupe,Democrat,4687,1.5,729
Alabama,Franklin,Democrat,31704,50.0,2000
Virginia,Albemarle,Democrat,98970,137.3,15122
Texas,King,Democrat,286,0.3,3
Texas,Webb,Democrat,250304,74.5,24736
Arkansas,Clay,Democrat,16083,25.2,1616
Iowa,Taylor,Democrat,6317,11.9,200
Ohio,Harrison,Democrat,15864,39.4,1492
Florida,Brevard,Democrat,543376,535.0,51918
Texas,Schleicher,Democrat,3461,2.6,82
Georgia,Randolph,Democrat,7719,18.0,761
Wyoming,Washakie,Democrat,8533,3.8,3
California,Plumas,Democrat,20007,7.8,2685
Ohio,Ross,Democrat,78064,113.3,6177
Virginia,Isle of Wight,Democrat,35270,111.8,3299
Virginia,Fluvanna,Democrat,25691,89.8,2338
Texas,Archer,Democrat,9054,10.0,163
Georgia,Walker,Democrat,68756,154.0,1876
Louisiana,Concordia,Democrat,20822,29.9,2159
Montana,Powell,Democrat,7027,3.0,456
Virginia,Culpeper,Democrat,46689,123.1,2575
Texas,Val Verde,Democrat,48879,15.5,2545
Oklahoma,Roger Mills,Democrat,3647,3.2,368
West Virginia,Wyoming,Democrat,23796,47.6,2208
Iowa,Benton,Democrat,26076,36.4,1200
Michigan,Berrien,Democrat,156813,276.2,12598
Tennessee,Overton,Democrat,22083,50.9,1362
Texas,Smith,Democrat,209714,227.6,7736
Colorado,Douglas,Democrat,285465,339.7,4689
Colorado,Alamosa,Democrat,15445,21.4,257
South Carolina,Dorchester,Democrat,136555,238.2,9796
South Carolina,Calhoun,Democrat,15175,39.8,1777
Idaho,Clark,Democrat,982,0.6,4
