"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Alabama,Macon,Republican,21452,35.2,728
Missouri,Marion,Republican,28781,65.9,4939
Idaho,Valley,Republican,9862,2.7,1436
Oklahoma,Harper,Republican,3685,3.5,650
Nebraska,Clay,Republican,6542,11.4,952
Mississippi,Lamar,Republican,55658,112.0,11125
South Dakota,Marshall,Republican,4656,5.6,265
Alabama,Cleburne,Republican,14972,26.7,4189
Alabama,Cullman,Republican,80406,109.4,20557
South Carolina,Spartanburg,Republican,284307,351.9,46655
Alabama,Dale,Republican,50251,89.6,8836
Florida,Collier,Republican,321520,160.9,63281
Florida,Sarasota,Republican,379448,682.6,70660
Illinois,Adams,Republican,67103,78.5,12498
Oklahoma,Okfuskee,Republican,12191,19.7,776
Georgia,Emanuel,Republican,22598,33.2,2928
Oregon,Klamath,Republican,66380,11.2,11385
Michigan,Iosco,Republican,25887,47.1,3583
Maryland,Wicomico,Republican,98733,263.7,10456
Idaho,Idaho County,Republican,16267,1.9,3800
Oklahoma,Garvin,Republican,27576,34.4,2572
Texas,Williamson,Republican,422679,378.0,62483
Mississippi,George,Republican,22578,47.2,4547
Arkansas,Conway,Republican,21273,38.5,2176
West Virginia,Jackson,Republican,29211,62.9,4377
Missouri,St. Louis City,Republican,319294,5157.5,13425
Texas,Falls,Republican,17866,23.3,2389
Mississippi,Tishomingo,Republican,19593,46.2,3457
Montana,Sanders,Republican,11413,4.1,2343
Montana,Glacier,Republican,13399,4.5,488
North Carolina,McDowell,Republican,44996,102.1,5955
Arkansas,Nevada,Republican,8997,14.6,662
Kentucky,Livingston,Republican,9519,30.4,310
Texas,Bandera,Republican,20485,25.9,5073
Utah,Wasatch,Republican,23530,20.0,2376
Maryland,Queen Anne's,Republican,47798,128.5,7853
Oklahoma,Dewey,Republican,4810,4.8,841
Texas,Maverick,Republican,54258,42.4,423
Nevada,White Pine,Republican,10030,1.1,430
Arkansas,Johnson,Republican,25540,38.7,3291
Texas,Edwards,Republican,2002,0.9,541
Mississippi,Tallahatchie,Republican,15378,23.8,1187
South Carolina,Beaufort,Republican,162233,281.5,32970
Michigan,Luce,Republican,6631,7.4,869
Missouri,Nodaway,Republican,23370,26.6,3275
Florida,Monroe,Republican,73090,74.3,10802
New York,Ontario,Republican,107931,167.6,8052
Indiana,Floyd,Republican,74578,504.1,12997
Texas,Bee,Republican,31861,36.2,2879
Ohio,Coshocton,Republican,36901,65.4,6390
Georgia,Crawford,Republican,12630,38.9,1773
Virginia,Roanoke City,Republican,97032,2279.8,7415
Iowa,Henry,Republican,20145,46.4,1212
Alabama,Conecuh,Republican,13228,15.6,1271
Michigan,Crawford,Republican,14074,25.3,2137
Utah,Rich,Republican,2264,2.2,252
Texas,Hudspeth,Republican,3476,0.8,184
Florida,Citrus,Republican,141236,242.8,26794
Kentucky,Spencer,Republican,17061,91.4,1656
North Carolina,Stokes,Republican,47401,105.6,7998
Louisiana,Lafourche,Republican,96318,90.2,5648
Utah,Garfield,Republican,5172,1.0,376
Maryland,Allegany,Republican,75087,177.0,9214
Michigan,Tuscola,Republican,55729,69.4,8344
Iowa,Hamilton,Republican,15673,27.2,955
Wisconsin,Wood,Republican,74749,94.2,15640
Virginia,Charles City,Republican,7256,39.7,661
Ohio,Henry,Republican,28215,67.8,6584
South Dakota,Perkins,Republican,2982,1.0,611
Texas,Coke,Republican,3320,3.6,814
South Carolina,Abbeville,Republican,25417,51.8,3667
Iowa,Benton,Republican,26076,36.4,1634
Pennsylvania,Northumberland,Republican,94528,206.2,12283
Florida,Madison,Republican,19224,27.6,1587
Missouri,Oregon,Republican,10881,13.8,1771
Indiana,Jackson,Republican,42376,83.2,8526
Louisiana,Beauregard,Republican,35654,30.8,2868
Illinois,Cumberland,Republican,11048,31.9,2548
Oregon,Baker,Republican,16134,5.3,3481
Ohio,Columbiana,Republican,107841,202.7,18559
Ohio,Butler,Republican,368130,788.2,67481
Alabama,Monroe,Republican,23068,22.5,3701
Illinois,Madison,Republican,269282,376.3,35272
Nebraska,Lancaster,Republican,285407,340.8,24638
Georgia,Chattahoochee,Republican,11267,45.3,316
Pennsylvania,Crawford,Republican,88765,87.7,13145
Wisconsin,Washington,Republican,131887,306.2,39908
Virginia,Franklin,Republican,56159,81.3,8122
New Mexico,Quay,Republican,9041,3.1,847
Montana,Prairie,Republican,1179,0.7,316
Montana,Powell,Republican,7027,3.0,973
Mississippi,Panola,Republican,34707,50.7,4077
Virginia,Charlottesville,Republican,43475,4246.4,2784
Virginia,Giles,Republican,17286,48.6,2194
Iowa,Jones,Republican,20638,35.9,1034
North Carolina,Guilford,Republican,488406,756.4,52022
Georgia,Gilmer,Republican,28292,66.3,6340
Michigan,Barry,Republican,59173,107.0,9993
Missouri,Grundy,Republican,10261,23.6,1893
West Virginia,Summers,Republican,13927,38.6,1161
